graph,n,mode,p,kappa_mean,kappa_std,min_eigen
ER,32,diverse,0.2,0.43906086683273315,0.053273626360014134,-1.9039999142427003e-13
ER,32,local,0.2,3.979549486151276e-05,1.7084959600176636e-06,-1.92888335905442e-16
ER,128,diverse,0.2,0.5378657678763071,0.07093526834778814,-2.883928020693098e-11
ER,128,local,0.2,1.8973006566132728e-05,4.6225717357749096e-08,-4.937745747653775e-16
SB,32,diverse,,0.4204614559809367,0.01997013372134687,-1.3218478911622053e-13
SB,32,local,,7.121111290568176e-06,3.512908252178238e-07,-1.518245078039642e-16
SB,128,diverse,,0.5550413727760315,0.017905153701821108,-2.768855484467709e-11
SB,128,local,,3.605588305314692e-05,4.452485926980208e-08,-3.9565275118551415e-16
